source_id,l,b,ra,dec,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dist_pc,mu_l,mu_b,x,y,z
6.82969E+16,165.744395,-23.68127705,56.01485492,24.50404812,22.32333093,0.118832402,-45.72743196,0.090592769,1.265316258,4.512575328,7.378027754,0.054033561,10.528545,10.91307,9.999205,135.5375763,-0.080520378,5.987830181,-120.3021972,30.56559922,-54.43859004
6.51087E+16,165.9784501,-25.26679067,55.0404327,23.17555221,19.35691031,0.355601929,-44.55717099,0.200355431,,,7.378075959,0.106078662,16.486925,18.105541,15.23271,135.5366908,-0.384896092,4.719419237,-118.9177935,29.6972576,-57.85175739
6.98476E+16,165.7279883,-22.84816075,56.61406721,25.13533744,20.94152405,0.087167428,-45.5081228,0.051425243,6.248085,0.517442886,7.378191904,0.055018244,10.404107,10.761773,9.912958,135.5345609,-0.259027099,5.561723516,-121.045144,30.79125987,-52.62688132
6.65239E+16,166.8847637,-23.35051878,57.10911288,24.04818882,19.62336018,0.136409832,-46.30846911,0.068129528,6.048730118,1.393535084,7.379283401,0.058866868,9.894127,10.200419,9.458603,135.5145135,-0.512618811,5.811784712,-121.1701105,28.23133914,-53.71200209
6.49365E+16,167.4686657,-23.82210728,57.1893671,23.33871889,18.99703951,0.083739897,-45.73787765,0.051377754,7.338481047,4.030778727,7.37929821,0.040030777,12.895202,13.609607,12.089958,135.5142415,-0.540639356,5.349934319,-121.0156068,26.8981597,-54.73409875
6.49223E+16,167.6333347,-23.83310715,57.30137355,23.22814686,19.71657939,0.063455217,-46.05159443,0.041868718,,,7.379370635,0.03326631,13.65518,14.551829,12.727759,135.5129115,-0.475180919,5.66645082,-121.0809576,26.54773653,-54.75736098
7.17239E+16,163.1704058,-20.41187274,56.41992367,28.53483225,19.90532264,0.271377896,-45.0283784,0.168828942,,,7.379371006,0.196940527,17.348633,19.29649,16.021698,135.5129047,-0.356349182,5.082383575,-121.5643468,36.77116341,-47.26244243
6.70856E+16,166.9909288,-21.53500227,58.54794346,25.31174045,19.34282085,0.195353225,-45.59703543,0.129064807,,,7.38002503,0.116514809,16.80846,18.572674,15.510347,135.5008955,-0.481789585,5.322218349,-122.8070197,28.37291082,-49.7383808
6.67871E+16,166.2107264,-23.27609617,56.66214031,24.52011396,20.42891282,0.094607945,-46.02677625,0.05180946,6.284287614,0.737934044,7.381538623,0.042311712,12.879779,13.598299,12.072281,135.4731108,-0.375433026,5.782210979,-120.8603344,29.66235798,-53.53398777
6.43806E+16,167.3682695,-25.50846259,55.87979915,22.15818095,19.72723968,0.121546685,-45.72460085,0.064229358,6.731583752,0.654553903,7.381557593,0.062282142,10.228818,10.613237,9.713229,135.4727627,-0.442906361,5.466268155,-119.3076269,26.73800457,-58.34071216
6.66426E+16,167.2839085,-22.45431066,58.07317736,24.45533303,19.23831108,0.225843615,-45.64940863,0.15566773,,,7.381703938,0.126198625,16.564339,18.256672,15.233987,135.4700769,-0.500486454,5.336265904,-122.128444,27.55907607,-51.74246052
6.41099E+16,168.2325348,-24.27275826,57.40916883,22.53329181,18.32894376,0.110940763,-44.51628602,0.065628644,,,7.381836174,0.05245076,6.989913,7.0214014,6.967423,135.4676501,-0.507780965,4.536124095,-120.8966628,25.18519375,-55.68830363
6.95835E+16,162.2778345,-24.4281344,52.81106721,25.98090419,21.77467718,0.078765324,-44.82253618,0.059337811,,,7.381846981,0.045948573,14.468811,15.610601,13.412055,135.4674518,-0.088594533,5.323848895,-117.4871197,37.54522383,-56.02288249
6.64893E+16,167.3967406,-22.86104388,57.85177539,24.08717861,19.15592189,0.084330802,-45.04113309,0.055477889,4.590146214,1.397884339,7.382369336,0.04295475,12.792986,13.487478,12.003316,135.4578665,-0.453932751,4.962139052,-121.8099624,27.23522775,-52.62517492
6.67619E+16,166.6466899,-22.6096744,57.48251115,24.74191085,19.94043053,0.132109975,-45.64240852,0.087765799,,,7.382377523,0.07334982,15.19903,16.589727,14.03888,135.4577163,-0.406810744,5.454213901,-121.6663363,28.88045828,-52.07700684
6.37955E+16,169.6302085,-23.95079411,58.6450567,21.88371662,18.85720794,0.137233333,-44.63673297,0.076101712,,,7.382390243,0.068290775,14.642106,15.8565645,13.555002,135.4574829,-0.454234111,4.683584458,-121.7717592,22.28314026,-54.98936246
6.52128E+16,166.6981622,-23.50623388,56.85568019,24.04895952,18.63059871,0.148769663,-45.92743752,0.092530856,,,7.382527483,0.076234783,15.416554,16.605923,14.25037,135.4549647,-0.607390475,5.406807965,-120.881876,28.57956158,-54.02618059
6.56805E+16,168.0531209,-23.32001149,57.98900484,23.33922774,20.94864792,0.087104037,-46.34572347,0.055623625,5.614524413,1.094048893,7.383240331,0.047075828,12.720613,13.405562,11.93226,135.4418866,-0.331333419,6.086579491,-121.683275,25.74688773,-53.61700301
7.02947E+16,164.5096536,-21.64986711,56.56302308,26.78010662,19.88463311,1.333078024,-47.73788244,0.746353765,,,7.383643579,0.85966749,19.229202,21.56976,17.629496,135.4344897,-0.620066666,6.813299348,-121.3077214,33.61979962,-49.96645678
